CumulativeD2,LocalD2,Label2,CumulativeD3,LocalD3,LocalChange3,Label3,CumulativeD4,LocalD4,LocalChange4,Label4,CumulativeD5,LocalD5,LocalChange5,Label5
0.625,0.75,minor,0.625,0.5,0.5,minor,0.59375,0.625,0.125,major,0.575,0.5,0.375,minor
0.6875,0.75,minor,0.625,0.625,0.375,minor,0.59375,0.5,0.125,major,0.6,0.5,0.25,minor
0.6875,0.875,minor,0.666666667,0.5,0.375,minor,0.59375,0.625,0.375,major,0.625,0.375,0.5,minor
0.6875,0.75,minor,0.708333333,0.625,0.375,minor,0.65625,0.75,0.375,minor,0.7,0.5,0.25,minor
0.6875,0.75,minor,0.75,0.625,0.375,minor,0.6875,0.875,0.25,minor,0.725,0.5,0.375,minor
0.625,0.75,major,0.708333333,0.5,0.5,minor,0.65625,0.875,0.625,major,0.675,0.5,0.625,minor
0.75,0.75,minor,0.708333333,0.75,0.25,minor,0.65625,0.625,0.125,major,0.675,0.5,0.375,minor
0.625,0.75,major,0.666666667,0.5,0.5,minor,0.625,0.75,0.5,major,0.625,0.5,0.5,minor
0.6875,0.75,minor,0.708333333,0.625,0.375,minor,0.65625,0.75,0.125,minor,0.675,0.5,0.25,minor
0.625,0.75,major,0.666666667,0.5,0.5,minor,0.5625,0.75,0.5,major,0.575,0.25,0.75,minor
0.8125,0.875,minor,0.75,0.75,0.375,minor,0.6875,0.625,0.125,major,0.7,0.5,0.375,minor
0.75,0.875,minor,0.708333333,0.625,0.25,minor,0.65625,0.625,0.25,major,0.65,0.5,0.375,minor
0.625,0.75,minor,0.666666667,0.5,0.5,minor,0.625,0.75,0.25,major,0.65,0.5,0.5,minor
0.6875,0.875,minor,0.666666667,0.5,0.375,minor,0.625,0.625,0.375,minor,0.65,0.5,0.125,minor
0.6875,0.875,minor,0.666666667,0.5,0.375,minor,0.625,0.625,0.375,minor,0.65,0.5,0.125,minor
0.625,0.75,minor,0.666666667,0.5,0.5,minor,0.625,0.75,0.25,major,0.625,0.5,0.5,minor
0.75,1,minor,0.708333333,0.5,0.5,minor,0.59375,0.625,0.375,major,0.6,0.25,0.625,minor
0.6875,0.875,minor,0.666666667,0.5,0.375,minor,0.59375,0.625,0.375,major,0.6,0.375,0.5,minor
0.625,0.625,minor,0.625,0.625,0.25,minor,0.59375,0.625,0.25,major,0.625,0.5,0.375,minor
0.5625,0.625,major,0.583333333,0.5,0.375,minor,0.5625,0.625,0.375,major,0.575,0.5,0.375,minor
0.625,0.75,major,0.625,0.5,0.5,minor,0.53125,0.625,0.375,major,0.55,0.25,0.625,minor
0.625,0.75,major,0.625,0.5,0.5,minor,0.5625,0.625,0.625,major,0.575,0.375,0.5,minor
0.6875,0.875,minor,0.625,0.5,0.375,minor,0.59375,0.5,0.25,major,0.6,0.5,0.25,minor
0.625,0.75,major,0.666666667,0.5,0.5,minor,0.59375,0.75,0.5,major,0.6,0.375,0.625,minor
0.625,0.75,major,0.625,0.5,0.25,minor,0.5625,0.625,0.375,major,0.55,0.375,0.5,minor
0.8125,0.875,minor,0.75,0.75,0.375,minor,0.6875,0.625,0.125,major,0.7,0.5,0.375,minor
0.6875,0.875,minor,0.708333333,0.5,0.375,minor,0.65625,0.75,0.25,major,0.65,0.5,0.5,minor
0.75,0.875,minor,0.75,0.625,0.25,minor,0.6875,0.75,0.375,minor,0.725,0.5,0.25,minor
0.75,1,major,0.75,0.5,0.5,minor,0.65625,0.75,0.5,major,0.65,0.375,0.625,minor
0.75,0.875,minor,0.75,0.625,0.25,minor,0.6875,0.75,0.125,major,0.675,0.5,0.5,minor
0.625,0.75,minor,0.583333333,0.5,0.5,minor,0.5,0.5,0.25,major,0.525,0.25,0.5,minor
0.6875,0.875,major,0.666666667,0.5,0.375,minor,0.5625,0.625,0.625,major,0.575,0.25,0.625,minor
0.75,1,minor,0.791666667,0.5,0.5,minor,0.71875,0.875,0.375,minor,0.725,0.5,0.375,minor
0.625,0.75,minor,0.625,0.5,0.5,minor,0.5625,0.625,0.375,major,0.6,0.375,0.5,minor
0.666666667,0.777777778,major,0.666666667,0.555555556,0.444444444,minor,0.555555556,0.666666667,0.333333333,major,0.555555556,0.222222222,0.666666667,minor
0.722222222,0.777777778,minor,0.703703704,0.666666667,0.333333333,minor,0.666666667,0.666666667,0,major,0.666666667,0.555555556,0.333333333,minor
0.722222222,0.888888889,minor,0.703703704,0.555555556,0.555555556,minor,0.611111111,0.666666667,0.333333333,major,0.644444444,0.333333333,0.555555556,minor
0.611111111,0.666666667,major,0.666666667,0.555555556,0.333333333,minor,0.611111111,0.777777778,0.444444444,major,0.622222222,0.444444444,0.555555556,minor
0.611111111,0.666666667,minor,0.666666667,0.555555556,0.333333333,minor,0.638888889,0.777777778,0.222222222,major,0.666666667,0.555555556,0.444444444,minor
0.611111111,0.666666667,major,0.62962963,0.555555556,0.333333333,minor,0.583333333,0.666666667,0.333333333,major,0.6,0.444444444,0.444444444,minor
0.777777778,0.888888889,minor,0.740740741,0.666666667,0.444444444,minor,0.638888889,0.666666667,0.222222222,major,0.666666667,0.333333333,0.555555556,minor
0.833333333,0.888888889,minor,0.814814815,0.777777778,0.333333333,minor,0.722222222,0.777777778,0.222222222,major,0.755555556,0.444444444,0.555555556,minor
0.722222222,0.777777778,minor,0.740740741,0.666666667,0.333333333,minor,0.694444444,0.777777778,0.333333333,major,0.733333333,0.555555556,0.444444444,minor
0.666666667,0.777777778,major,0.703703704,0.555555556,0.444444444,minor,0.611111111,0.777777778,0.444444444,major,0.622222222,0.333333333,0.666666667,minor
0.722222222,0.888888889,minor,0.740740741,0.555555556,0.333333333,minor,0.694444444,0.777777778,0.444444444,major,0.711111111,0.555555556,0.444444444,minor
0.722222222,0.888888889,minor,0.777777778,0.555555556,0.555555556,minor,0.694444444,0.888888889,0.333333333,major,0.711111111,0.444444444,0.666666667,minor
0.555555556,0.666666667,major,0.62962963,0.444444444,0.444444444,minor,0.583333333,0.777777778,0.555555556,major,0.6,0.444444444,0.555555556,minor
0.666666667,0.777777778,major,0.740740741,0.555555556,0.444444444,minor,0.694444444,0.888888889,0.555555556,major,0.711111111,0.555555556,0.555555556,minor
0.666666667,0.777777778,minor,0.703703704,0.555555556,0.444444444,minor,0.638888889,0.777777778,0.222222222,major,0.666666667,0.444444444,0.555555556,minor
0.666666667,0.777777778,major,0.62962963,0.555555556,0.222222222,minor,0.583333333,0.555555556,0.444444444,major,0.6,0.444444444,0.333333333,minor
0.722222222,0.777777778,minor,0.740740741,0.666666667,0.333333333,minor,0.694444444,0.777777778,0.333333333,major,0.711111111,0.555555556,0.444444444,minor
0.722222222,0.888888889,major,0.703703704,0.555555556,0.333333333,minor,0.638888889,0.666666667,0.333333333,major,0.622222222,0.444444444,0.444444444,minor
0.722222222,0.888888889,major,0.666666667,0.555555556,0.333333333,minor,0.583333333,0.555555556,0.444444444,major,0.577777778,0.333333333,0.444444444,minor
0.722222222,0.888888889,minor,0.740740741,0.555555556,0.555555556,minor,0.666666667,0.777777778,0.222222222,major,0.666666667,0.444444444,0.555555556,minor
0.666666667,0.777777778,major,0.666666667,0.555555556,0.444444444,minor,0.611111111,0.666666667,0.333333333,major,0.6,0.444444444,0.444444444,minor
0.666666667,0.777777778,minor,0.666666667,0.555555556,0.222222222,minor,0.611111111,0.666666667,0.333333333,major,0.644444444,0.444444444,0.444444444,minor
