N,CumulativeD2,LocalD2,Label2,CumulativeD3,LocalD3,LocalChange3,Label3,CumulativeD4,LocalD4,LocalChange4,Label4,CumulativeD5,LocalD5,LocalChange5,Label5
7,0.75,1,소수,0.7916666667,0.5,0.5,소수,0.71875,0.875,0.375,다수,0.725,0.5,0.625,소수
7,0.8125,0.875,소수,0.7916666667,0.75,0.375,소수,0.6875,0.75,0.25,다수,0.725,0.375,0.625,소수
7,0.5625,0.625,다수,0.5833333333,0.5,0.375,소수,0.53125,0.625,0.375,다수,0.55,0.375,0.5,소수
7,0.625,0.75,소수,0.625,0.5,0.5,소수,0.5625,0.625,0.125,다수,0.575,0.375,0.5,소수
8,0.6666666667,0.7777777778,소수,0.6666666667,0.5555555556,0.2222222222,소수,0.6388888889,0.6666666667,0.3333333333,다수,0.6444444444,0.5555555556,0.3333333333,소수
8,0.6111111111,0.7777777778,다수,0.6296296296,0.4444444444,0.5555555556,소수,0.5555555556,0.6666666667,0.6666666667,다수,0.5777777778,0.3333333333,0.5555555556,소수
8,0.5555555556,0.6666666667,다수,0.5925925926,0.4444444444,0.4444444444,소수,0.5555555556,0.6666666667,0.4444444444,다수,0.5555555556,0.4444444444,0.4444444444,소수
8,0.7222222222,0.8888888889,소수,0.7777777778,0.5555555556,0.3333333333,소수,0.7222222222,0.8888888889,0.3333333333,소수,0.7333333333,0.5555555556,0.3333333333,소수
9,0.65,0.8,소수,0.6666666667,0.5,0.5,소수,0.6,0.7,0.4,다수,0.62,0.4,0.5,소수
9,0.7,0.8,소수,0.7666666667,0.6,0.4,소수,0.7,0.9,0.3,다수,0.72,0.5,0.6,소수
9,0.75,0.8,소수,0.7333333333,0.7,0.3,소수,0.65,0.7,0.2,다수,0.68,0.4,0.5,소수
9,0.6,0.7,소수,0.6333333333,0.5,0.4,소수,0.575,0.7,0.4,다수,0.62,0.4,0.5,소수
10,0.6818181818,0.8181818182,소수,0.696969697,0.5454545455,0.4545454545,소수,0.6363636364,0.7272727273,0.3636363636,다수,0.6545454545,0.4545454545,0.4545454545,소수
10,0.6363636364,0.7272727273,다수,0.6666666667,0.5454545455,0.3636363636,소수,0.5909090909,0.7272727273,0.5454545455,다수,0.6181818182,0.3636363636,0.5454545455,소수
10,0.7727272727,0.9090909091,소수,0.7575757576,0.6363636364,0.2727272727,소수,0.6818181818,0.7272727273,0.2727272727,다수,0.6909090909,0.4545454545,0.4545454545,소수
11,0.6666666667,0.75,소수,0.6666666667,0.5833333333,0.3333333333,소수,0.6041666667,0.6666666667,0.25,다수,0.6333333333,0.4166666667,0.4166666667,소수
11,0.7083333333,0.9166666667,소수,0.6944444444,0.5,0.4166666667,소수,0.625,0.6666666667,0.3333333333,다수,0.6333333333,0.4166666667,0.4166666667,소수
11,0.625,0.75,다수,0.6388888889,0.5,0.4166666667,소수,0.5625,0.6666666667,0.5,다수,0.5833333333,0.3333333333,0.5,소수
12,0.6538461538,0.7692307692,다수,0.6666666667,0.5384615385,0.3846153846,소수,0.5769230769,0.6923076923,0.4615384615,다수,0.6,0.3076923077,0.5384615385,소수
12,0.6923076923,0.8461538462,소수,0.6923076923,0.5384615385,0.3076923077,소수,0.6346153846,0.6923076923,0.3076923077,다수,0.6461538462,0.4615384615,0.3846153846,소수
13,0.6785714286,0.7857142857,소수,0.6904761905,0.5714285714,0.3571428571,소수,0.625,0.7142857143,0.2857142857,다수,0.6428571429,0.4285714286,0.4285714286,소수
