N,CumulativeD2,LocalD2,Label2,CumulativeD3,LocalD3,LocalChange3,Label3,CumulativeD4,LocalD4,LocalChange4,Label4,CumulativeD5,LocalD5,LocalChange5,Label5
7,0.75,1,minor,0.7916666667,0.5,0.5,minor,0.71875,0.875,0.375,major,0.725,0.5,0.625,minor
7,0.8125,0.875,minor,0.7916666667,0.75,0.375,minor,0.6875,0.75,0.25,major,0.725,0.375,0.625,minor
7,0.5625,0.625,major,0.5833333333,0.5,0.375,minor,0.53125,0.625,0.375,major,0.55,0.375,0.5,minor
7,0.625,0.75,minor,0.625,0.5,0.5,minor,0.5625,0.625,0.125,major,0.575,0.375,0.5,minor
8,0.6666666667,0.7777777778,minor,0.6666666667,0.5555555556,0.2222222222,minor,0.6388888889,0.6666666667,0.3333333333,major,0.6444444444,0.5555555556,0.3333333333,minor
8,0.6111111111,0.7777777778,major,0.6296296296,0.4444444444,0.5555555556,minor,0.5555555556,0.6666666667,0.6666666667,major,0.5777777778,0.3333333333,0.5555555556,minor
8,0.5555555556,0.6666666667,major,0.5925925926,0.4444444444,0.4444444444,minor,0.5555555556,0.6666666667,0.4444444444,major,0.5555555556,0.4444444444,0.4444444444,minor
8,0.7222222222,0.8888888889,minor,0.7777777778,0.5555555556,0.3333333333,minor,0.7222222222,0.8888888889,0.3333333333,minor,0.7333333333,0.5555555556,0.3333333333,minor
9,0.65,0.8,minor,0.6666666667,0.5,0.5,minor,0.6,0.7,0.4,major,0.62,0.4,0.5,minor
9,0.7,0.8,minor,0.7666666667,0.6,0.4,minor,0.7,0.9,0.3,major,0.72,0.5,0.6,minor
9,0.75,0.8,minor,0.7333333333,0.7,0.3,minor,0.65,0.7,0.2,major,0.68,0.4,0.5,minor
9,0.6,0.7,minor,0.6333333333,0.5,0.4,minor,0.575,0.7,0.4,major,0.62,0.4,0.5,minor
10,0.6818181818,0.8181818182,minor,0.696969697,0.5454545455,0.4545454545,minor,0.6363636364,0.7272727273,0.3636363636,major,0.6545454545,0.4545454545,0.4545454545,minor
10,0.6363636364,0.7272727273,major,0.6666666667,0.5454545455,0.3636363636,minor,0.5909090909,0.7272727273,0.5454545455,major,0.6181818182,0.3636363636,0.5454545455,minor
10,0.7727272727,0.9090909091,minor,0.7575757576,0.6363636364,0.2727272727,minor,0.6818181818,0.7272727273,0.2727272727,major,0.6909090909,0.4545454545,0.4545454545,minor
11,0.6666666667,0.75,minor,0.6666666667,0.5833333333,0.3333333333,minor,0.6041666667,0.6666666667,0.25,major,0.6333333333,0.4166666667,0.4166666667,minor
11,0.7083333333,0.9166666667,minor,0.6944444444,0.5,0.4166666667,minor,0.625,0.6666666667,0.3333333333,major,0.6333333333,0.4166666667,0.4166666667,minor
11,0.625,0.75,major,0.6388888889,0.5,0.4166666667,minor,0.5625,0.6666666667,0.5,major,0.5833333333,0.3333333333,0.5,minor
12,0.6538461538,0.7692307692,major,0.6666666667,0.5384615385,0.3846153846,minor,0.5769230769,0.6923076923,0.4615384615,major,0.6,0.3076923077,0.5384615385,minor
12,0.6923076923,0.8461538462,minor,0.6923076923,0.5384615385,0.3076923077,minor,0.6346153846,0.6923076923,0.3076923077,major,0.6461538462,0.4615384615,0.3846153846,minor
13,0.6785714286,0.7857142857,minor,0.6904761905,0.5714285714,0.3571428571,minor,0.625,0.7142857143,0.2857142857,major,0.6428571429,0.4285714286,0.4285714286,minor
